NRA,NOMBRE,SECTOR,ESTADO,MUNICIPIO,SUSTANCIA,UNIDAD,AIRE,AGUA,SUELO,REUTILIZACION,RECICLADO,COPROCESAMIENTO,TRATAMIENTO,DISP_FINAL,ALCANTARILLADO,INCINERACION,OTROS,Comp_or_persist,Gases_Efecto_Invern,Hidrocarb_arom_y_alif,Metales,Organohalogenados,Sust_agot_del_ozono,Plaguicidas,Otras_sust_peligr,GRUPO
MBS140800511,Minera Bismark S.A de C.V. ,Metalurgica (incluye la siderurgica),CHIHUAHUA,Ascension,Plomo (compuestos),Kg,0,0,0,0,1749.15,0,0,0,0,0,0,,,,1,,,,,Metales
MCA152601911,Buenavista del Cobre.  S.A. de C.V.. ,Metalurgica (incluye la siderurgica),SONORA,Cananea,Bioxido de carbono,Kg,311909.7,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MCBMJ2600311,Minera Corner Bay SA de CV. N/A,Metalurgica (incluye la siderurgica),SONORA,Alamos,Bioxido de carbono,Kg,862182.94,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MCCKE3006811,Manufacturera Corona Clipper S.A. de C.V..  ,Metalurgica (incluye la siderurgica),VERACRUZ,Fortin,Plomo (polvos respirables.  humos o vapores),Kg,0,0,0,0,0,0,0,4.3,0,0,0,,,,1,,,,,Metales
MCCKE3006811,Manufacturera Corona Clipper S.A. de C.V..  ,Metalurgica (incluye la siderurgica),VERACRUZ,Fortin,Cadmio,Kg,0,0,0,0,0,0,0,2.15,0,0,0,,,,1,,,,,Metales
MCMSP2603611,MINERA COLUMBIA DE MEXICO S.A.P.I. DE C. V.. MINERA COLUMBIA DE MEXICO S.A.P.I DE C. V.,Metalurgica (incluye la siderurgica),SONORA,Magdalena,Bioxido de carbono,Kg,283372.8,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MCM0100500002,MAHLE COMPONENTES DE MOTOR DE MEXICO S. DE R.L. DE C.V.. ,Automotriz,AGUASCALIENTES,Jesus Maria,Cromo (compuestos),Kg,0.006259,6.806,0,0,0,0,16370,0,0,0,0,,,,1,,,,,Metales
MCM0100500002,MAHLE COMPONENTES DE MOTOR DE MEXICO S. DE R.L. DE C.V.. ,Automotriz,AGUASCALIENTES,Jesus Maria,Plomo (compuestos),Kg,0,0,4.7994,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MCM2800300020,MEXICO CARBON MANUFACTURING S.A. DE C.V.. MEXICO CARBON MANUFACTURING,Quimica,TAMAULIPAS,Altamira,Oxido nitroso,Kg,246303.59,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MCM2800300020,MEXICO CARBON MANUFACTURING S.A. DE C.V.. MEXICO CARBON MANUFACTURING,Quimica,TAMAULIPAS,Altamira,Bioxido de carbono,Kg,138430664.8,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MCM521902611,Mueller Comercial de Mexico S. de R.L. de C.V.. ,Articulos y productos metalicos,NUEVO LEON,Guadalupe,Niquel (compuestos),Kg,0,0,0,0,0,0,0,0,1.0073,0,0,,,,1,,,,,Metales
MCM9J1509011,Manufacturera de Cigüenales de Mexico S.A. de C.V.. ,Automotriz,MEXICO,Tenango del Valle,Cromo (compuestos),Kg,0,0,0,0,0,0,0,0,4.6731,0,0,,,,1,,,,,Metales
MCM9M0502731,MAHLE COMPONENTES DE MOTOR DE MEXICO S DE RL DE CV. ,Automotriz,COAHUILA,Ramos Arizpe,Arsenico (compuestos),Kg,0,1.13,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MCM9M0502731,MAHLE COMPONENTES DE MOTOR DE MEXICO S DE RL DE CV. ,Automotriz,COAHUILA,Ramos Arizpe,Cromo (compuestos),Kg,0,4.06,0,0,0,0,0,0,3.76,0,0,,,,1,,,,,Metales
MCM9M0502731,MAHLE COMPONENTES DE MOTOR DE MEXICO S DE RL DE CV. ,Automotriz,COAHUILA,Ramos Arizpe,Niquel (compuestos),Kg,0,3.73,0,0,0,0,0,0,3.44,0,0,,,,1,,,,,Metales
MCM9M0502731,MAHLE COMPONENTES DE MOTOR DE MEXICO S DE RL DE CV. ,Automotriz,COAHUILA,Ramos Arizpe,Plomo (compuestos),Kg,0,0,0,0,1392.3,0,0,0,0,0,0,,,,1,,,,,Metales
MCM9M0502731,MAHLE COMPONENTES DE MOTOR DE MEXICO S DE RL DE CV. ,Automotriz,COAHUILA,Ramos Arizpe,Bioxido de carbono,Kg,5821310,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MCM9M0502732,MAHLE COMPONENTES DE MOTOR DE MEXICO S DE RL DE CV. ,Automotriz,COAHUILA,Ramos Arizpe,Niquel (compuestos),Kg,0,0,0,0,0,0,4.475,0,0,0,0,,,,1,,,,,Metales
MCM9M0502732,MAHLE COMPONENTES DE MOTOR DE MEXICO S DE RL DE CV. ,Automotriz,COAHUILA,Ramos Arizpe,Plomo (compuestos),Kg,0,0,0,0,6.93,0,0,0,0,0,0,,,,1,,,,,Metales
MCM9M0502732,MAHLE COMPONENTES DE MOTOR DE MEXICO S DE RL DE CV. ,Automotriz,COAHUILA,Ramos Arizpe,Bioxido de carbono,Kg,1239681,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,Gases de Efecto Invernadero
MCO152604111,Mexicana de Cobre.  S.A. de C.V.. Mexicana de Cobre S.A. de C.V.,Metalurgica (incluye la siderurgica),SONORA,Nacozari de Garcia,Arsenico (compuestos),Kg,0,3.44,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MCO152604111,Mexicana de Cobre.  S.A. de C.V.. Mexicana de Cobre S.A. de C.V.,Metalurgica (incluye la siderurgica),SONORA,Nacozari de Garcia,Cadmio (compuestos),Kg,0,1.32,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
MCO152604111,Mexicana de Cobre.  S.A. de C.V.. Mexicana de Cobre S.A. de C.V.,Metalurgica (incluye la siderurgica),SONORA,Nacozari de Garcia,Cromo (compuestos),Kg,0,4.49,0,0,0,0,0,0,0,0,0,,,,1,,,,,Metales
